pIC50,pIC50_std,smiles
8.187086643,,Clc1ccc2[nH]c(C3=NCCN3)c(c2c1)S(=O)(=O)c1ccccc1
5.871277716,,CC(C)c1ccccc1Sc1c(O)cc(oc1=O)-c1ccccc1C
4.334793113,0.473468961,Oc1c([O-])ccc(C[NH+]=Nc2ccc(cc2S(=O)(=O)N2CCOCC2)[N+]([O-])=O)c1O
8.065501549,0,Cc1ccc(C[C@H](NC(=O)c2ccc(C)c(O)c2C)[C@H](O)C(=O)N2C[C@@H](Cl)C[C@H]2C(=O)NC(C)(C)C)cc1
7.508638306,,CC(C)(C)OC(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1c(Cl)ccc(N)c1Cl)Cc1ccccc1
10.25856321,0.759880719,CCCc1nnc(C[C@H](C[C@H](O)CN2CCN(C[C@H]2C(=O)NCC(F)(F)F)C(C)(C)c2ncc(o2)-c2ccc(F)cc2)C(=O)N[C@@H]2[C@H](O)COc3ccccc23)o1
5.055517328,,CCNC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2NCSC2(C)C)C(C)(C)S1
9.769551079,,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cnc3ccoc3c2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)NC1[C@H](O)Cc2ccccc12
9.236572006,,CC(C)CN(C(CCCCNC(=O)[C@H](CC1=C2C=CC=CC2CC=C1)NC(=O)N1CCOCC1)C(N)=O)S(=O)(=O)c1ccc(N)cc1
4.667016489,,Cc1cccc2C(=O)C(=O)N(CCOc3ccccc3)c12
