,episode,step,epsilon,smiles,reward,q,random,loss,logP,ic50,QED,SA,cycles
3364,98,39,0.95216946166163,OC(=CBCl)NB(BBr)C(Cl)(SC(Cl)(OCl)B(Cl)SOBr)C(=P)C1(Br)OB1F,-10.689761531546607,-33.995979999999996,True,0.7109204530715942,4.702700000000003,4.661571979522705,0.05405702765630878,-7.506002148039843,-0.0
3371,99,6,0.9516933769307994,ClOP(Cl)Cl,-3.9874839811981566,-14.485617999999999,True,0.4690764546394348,2.8613,4.774495124816895,0.5263510066910045,-4.864401808861791,-0.0
3411,100,39,0.9512175302423341,B#CC(Cl)(B(Cl)Br)C(F)(I)C(F)(OC1(P=S)SN1N(O)P)N(F)I,-10.644017444530348,-27.460863,True,0.2812398076057434,4.409500000000001,4.666728496551514,0.037769009599091255,-7.373709150675062,-0.0
3416,101,4,0.9507419214772128,ClOCl,-3.546736057360944,-9.059949000000001,True,0.677842378616333,1.3106,5.0479044914245605,0.4323385583925369,-4.115033961711907,-0.0
3456,102,39,0.9502665505164744,O=PN(NP=CC(I)I)B(OB(Cl)OSOOCl)ON(Cl)P(C=S)N=S,-9.209756526731251,-34.253242,True,1.814756274223328,5.153200000000001,5.738198280334473,0.021553562684306016,-6.794515423529595,-0.0
3475,103,18,0.9497914172412162,ClB(OOp1os1)B(Cl)SBr,-6.0479289489003705,-16.016370000000002,True,0.6438968777656555,3.2634000000000003,5.4152421951293945,0.4740578029745937,-6.67953508430784,-0.0
3515,104,39,0.9493165215325956,BON(I)P(F)P(Cl)SB(Br)C(SCl)(C(F)=BBr)C(N)(SF)C(Br)=BI,-9.87149343230306,-33.028675,True,0.2316145896911621,6.611700000000003,5.319546699523926,0.06292718437156869,-7.315142135858718,-0.0
3555,105,39,0.9488418632718294,ON(P)C12N(B=I)ON1C(OF)(C(I)(I)SBr)BN2SI,-9.174244602618536,-27.314411,True,0.6184117794036865,3.2995000000000005,5.854221820831299,0.10848203793637946,-7.363526476617436,-0.0
3595,106,39,0.9483674423401935,B=NP1SPB(N(ON=NI)N(BBr)PC#P)N(BP(Br)Br)N(Br)C(S)(Cl)C1(Cl)I,-14.470629464876506,-26.947546000000003,True,0.8876302242279053,7.8049000000000035,5.245062828063965,0.029324975726629638,-5.085695243686949,-2.0
3635,107,39,0.9478932586190236,SP1OP=BN2SP(B=PBr)OB3B(Br)B(Cl)N(Cl)P3P(Br)B2SO1,-17.172671642037734,-32.99347,True,0.6347559690475464,7.632500000000002,5.374096393585205,0.0741894174759508,-7.67838033316661,-2.0
